Country_Code,Nation,Region_Code,Median_Malaria_Cases,Median_GDP,Median_Population_Density,Median_Urban_pct,Median_Sanitation_Access_pct,lat,lon,Median_Rainfall,Median_Temp
LKA,Sri Lanka,SEAR,39.5,4069.831780921565,352.431694638296,19.578411236529902,92.91713322855159,6.89,79.9,2803.8,26.61123287671233
SDN,Sudan,EMR,1077952.5,881.894561767578,24.3833913276231,34.5161059806741,52.739949214433,15.6,32.53,46.3,30.34904109589041
SUR,Suriname,AMR,225.0,6066.980026450599,3.77407650640365,66.02267500619024,89.6016767517518,5.83,-55.17,2096.2,26.27123287671233
TJK,Tajikistan,EUR,3.0,883.885213153514,68.6646444268319,26.19743258834965,95.9706194331764,38.55,68.77,512.7,15.532602739726029
THA,Thailand,SEAR,10797.0,7021.425743474265,139.995441288731,56.58124732971195,97.86993407198696,13.75,100.52,1555.0,28.122677595628414
TLS,Timor-Leste,SEAR,9.0,1418.9776925578,87.4878950907868,29.0383902571432,61.8936487362784,-8.58,125.6,1294.3,26.373698630136985
TGO,Togo,AFR,1924122.5,857.2946135519355,155.599705828277,41.661941962051245,22.1696500450056,6.14,1.21,1098.9,26.70684931506849
TKM,Turkmenistan,EUR,0.0,5905.28290552904,14.4786329878918,47.0520762186872,99.1577130359169,37.95,58.38,257.6,18.382739726027395
TUR,Türkiye,EUR,219.0,10827.1137769624,107.297584553617,88.79606339111729,98.96503642206264,39.93,32.87,441.0,12.791780821917808
UGA,Uganda,AFR,13355300.5,854.3505371229675,214.440639337722,28.18847670354525,22.230019027963003,0.32,32.55,1570.0,21.153424657534245
TZA,United Republic of Tanzania,AFR,5323867.5,1090.36889648438,66.8038959132987,33.60112522775125,30.4202628683069,-6.16,35.75,483.2,22.402465753424657
UZB,Uzbekistan,EUR,0.0,2418.593267567485,74.8253929702307,50.7228889465332,96.00066948529721,41.32,69.25,433.7,15.088524590163932
VUT,Vanuatu,WPR,893.5,3183.2590225446847,23.9528301886792,22.96057605059345,49.521353443586904,-17.73,168.32,1769.5,24.60054794520548
VEN,Venezuela (Bolivarian Republic of),AMR,213407.0,3520.045307965615,32.8077750694405,89.12145785427344,96.87288720535796,10.48,-66.87,947.3,21.77205479452055
VNM,Viet Nam,WPR,2791.5,3487.469894290405,310.034412897339,35.09729056496265,87.62670125425964,21.03,105.85,2128.7,24.265205479452053
YEM,Yemen,EMR,156513.5,893.262693704485,66.5026573479554,35.3046583156163,59.4283076408249,15.37,44.19,161.2,18.53497267759563
ZMB,Zambia,AFR,6137390.5,1277.43204262265,24.9046113076582,43.67711769788545,34.190758777934704,-15.42,28.28,831.6,20.605205479452053
ZWE,Zimbabwe,AFR,287481.0,2233.060119767735,39.4762000775494,36.5967654913583,35.483348712285,-17.82,31.03,712.2,19.09426229508197
